x,y,z,J
-0.0,0.0,0.0,0.766
-0.0,0.0,1.0,0.767
-0.0,0.0,2.0,0.767
-0.0,0.0,3.0,0.767
-0.0,0.0,4.0,0.768
-0.0,0.0,6.0,0.768
-0.0,0.0,7.0,0.769
-0.0,0.0,8.0,0.77
-0.0,0.0,9.0,0.771
-0.0,0.0,10.0,0.772
-0.0,1.0,0.0,0.766
-0.0,1.0,1.0,0.767
-0.0,1.0,2.0,0.767
-0.0,1.0,3.0,0.767
-0.0,1.0,4.0,0.768
-0.0,1.0,6.0,0.768
-0.0,1.0,7.0,0.769
-0.0,1.0,8.0,0.77
-0.0,1.0,9.0,0.771
-0.0,1.0,10.0,0.772
-0.0,2.0,0.0,0.766
-0.0,2.0,1.0,0.767
-0.0,2.0,2.0,0.767
-0.0,2.0,3.0,0.767
-0.0,2.0,4.0,0.768
-0.0,2.0,6.0,0.768
-0.0,2.0,7.0,0.769
-0.0,2.0,8.0,0.77
-0.0,2.0,9.0,0.771
-0.0,2.0,10.0,0.772
-0.0,3.0,0.0,0.765
-0.0,3.0,1.0,0.767
-0.0,3.0,2.0,0.767
-0.0,3.0,3.0,0.767
-0.0,3.0,4.0,0.768
-0.0,3.0,6.0,0.768
-0.0,3.0,7.0,0.769
-0.0,3.0,8.0,0.77
-0.0,3.0,9.0,0.771
-0.0,3.0,10.0,0.772
-0.0,4.0,0.0,0.765
-0.0,4.0,1.0,0.768
-0.0,4.0,2.0,0.768
-0.0,4.0,3.0,0.768
-0.0,4.0,4.0,0.768
-0.0,4.0,6.0,0.769
-0.0,4.0,7.0,0.769
-0.0,4.0,8.0,0.77
-0.0,4.0,9.0,0.771
-0.0,4.0,10.0,0.771
-0.0,5.0,0.0,0.764
-0.0,5.0,1.0,0.768
-0.0,5.0,2.0,0.768
-0.0,5.0,3.0,0.769
-0.0,5.0,4.0,0.769
-0.0,5.0,6.0,0.769
-0.0,5.0,7.0,0.769
-0.0,5.0,8.0,0.77
-0.0,5.0,9.0,0.771
-0.0,5.0,10.0,0.77
-0.0,6.0,0.0,0.764
-0.0,6.0,1.0,0.769
-0.0,6.0,2.0,0.77
-0.0,6.0,3.0,0.77
-0.0,6.0,4.0,0.77
-0.0,6.0,6.0,0.77
-0.0,6.0,7.0,0.77
-0.0,6.0,8.0,0.77
-0.0,6.0,9.0,0.77
-0.0,6.0,10.0,0.769
-0.0,7.0,0.0,0.763
-0.0,7.0,1.0,0.77
-0.0,7.0,2.0,0.772
-0.0,7.0,3.0,0.773
-0.0,7.0,4.0,0.772
-0.0,7.0,6.0,0.771
-0.0,7.0,7.0,0.77
-0.0,7.0,8.0,0.769
-0.0,7.0,9.0,0.77
-0.0,7.0,10.0,0.768
-0.0,8.0,0.0,0.763
-0.0,8.0,1.0,0.773
-0.0,8.0,2.0,0.776
-0.0,8.0,3.0,0.777
-0.0,8.0,4.0,0.776
-0.0,8.0,6.0,0.774
-0.0,8.0,7.0,0.771
-0.0,8.0,8.0,0.769
-0.0,8.0,9.0,0.769
-0.0,8.0,10.0,0.766
-0.0,9.0,0.0,0.761
-0.0,9.0,1.0,0.78
-0.0,9.0,2.0,0.781
-0.0,9.0,3.0,0.781
-0.0,9.0,4.0,0.781
-0.0,9.0,6.0,0.779
-0.0,9.0,7.0,0.773
-0.0,9.0,8.0,0.767
-0.0,9.0,9.0,0.767
-0.0,9.0,10.0,0.764
-0.0,10.0,0.0,0.743
-0.0,10.0,1.0,0.746
-0.0,10.0,2.0,0.738
-0.0,10.0,3.0,0.746
-0.0,10.0,4.0,0.755
-0.0,10.0,6.0,0.757
